Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.3,846531088,235,3602259.9,30466.0,3221,28998966,9522333.3,cudaStreamSynchronize
33.0,533901776,31945,16713.2,3797.0,3251,13258245,158039.5,cudaLaunchKernel
7.9,127028266,955,133013.9,6718.0,3475,14757183,950887.7,cudaMemcpyAsync
4.2,67153643,23,2919723.6,2186992.0,79957,9018268,2342569.8,cuLibraryLoadData
0.9,15279590,4410,3464.8,3366.0,2862,16823,611.0,cuLaunchKernel
0.7,11348135,95,119454.1,104048.0,3207,276857,43022.3,cudaMalloc
0.5,8065892,2550,3163.1,2944.0,2395,11237,841.5,cudaMemsetAsync
0.2,3467148,31945,108.5,105.0,79,8852,57.4,cuKernelGetName
0.2,3464763,4410,785.7,338.0,271,1706076,25725.0,cuKernelGetFunction
0.1,859338,1,859338.0,859338.0,859338,859338,0.0,cudaHostAlloc
0.0,340129,498,683.0,563.0,265,7410,505.9,cudaStreamIsCapturing_v10000
0.0,195561,880,222.2,160.0,96,1886,174.3,cuGetProcAddress_v2
0.0,89072,42,2120.8,1059.0,517,7991,2381.8,cuLibraryGetKernel
0.0,50757,38,1335.7,354.0,339,9509,2516.5,cudaEventCreateWithFlags
0.0,26127,2,13063.5,13063.5,2087,24040,15523.1,cudaFree
0.0,18621,2,9310.5,9310.5,8578,10043,1035.9,cudaEventRecordWithFlags_v11010
0.0,7821,1,7821.0,7821.0,7821,7821,0.0,cudaDeviceSynchronize
0.0,5473,4,1368.3,1374.0,125,2600,1415.5,cuModuleGetLoadingMode
0.0,4887,1,4887.0,4887.0,4887,4887,0.0,cudaEventSynchronize
0.0,4499,2,2249.5,2249.5,758,3741,2109.3,cudaEventDestroy
0.0,4464,4,1116.0,868.5,628,2099,679.8,cuInit
0.0,3709,2,1854.5,1854.5,1147,2562,1000.6,cudaEventQuery
0.0,2080,2,1040.0,1040.0,659,1421,538.8,cudaGetDeviceProperties_v12000
0.0,1244,3,414.7,359.0,307,578,143.8,cudaGetDriverEntryPointByVersion_v12050
