Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.8,799350265,235,3401490.5,26284.0,3216,27345428,8988201.8,cudaStreamSynchronize
36.5,624291114,33925,18402.1,3900.0,3199,16152332,132016.7,cudaLaunchKernel
8.0,136464018,2035,67058.5,5243.0,3501,15123984,660150.2,cudaMemcpyAsync
5.1,86991443,22,3954156.5,2381917.0,85786,13849427,4157139.6,cuLibraryLoadData
1.6,26487473,6570,4031.6,3691.5,2910,17371,971.7,cuLaunchKernel
0.8,13561666,94,144273.0,141558.0,3294,323664,43087.3,cudaMalloc
0.6,10910876,2550,4278.8,3498.5,2551,18532,1921.4,cudaMemsetAsync
0.3,4364389,6570,664.3,355.0,277,1479478,18298.3,cuKernelGetFunction
0.2,3823620,33925,112.7,105.0,81,3976,43.3,cuKernelGetName
0.1,1003925,2297,437.1,343.0,261,7866,323.7,cudaStreamIsCapturing_v10000
0.1,973775,1,973775.0,973775.0,973775,973775,0.0,cudaHostAlloc
0.0,191493,880,217.6,161.0,98,1149,147.0,cuGetProcAddress_v2
0.0,89287,43,2076.4,995.0,426,9452,2487.1,cuLibraryGetKernel
0.0,51558,38,1356.8,402.5,338,10657,2600.0,cudaEventCreateWithFlags
0.0,25910,2,12955.0,12955.0,1965,23945,15542.2,cudaFree
0.0,16943,2,8471.5,8471.5,6859,10084,2280.4,cudaEventRecordWithFlags_v11010
0.0,8788,1,8788.0,8788.0,8788,8788,0.0,cudaDeviceSynchronize
0.0,5630,4,1407.5,1324.0,114,2868,1470.6,cuModuleGetLoadingMode
0.0,5588,4,1397.0,794.5,591,3408,1350.9,cuInit
0.0,5173,1,5173.0,5173.0,5173,5173,0.0,cudaEventSynchronize
0.0,4544,2,2272.0,2272.0,1248,3296,1448.2,cudaEventQuery
0.0,4489,2,2244.5,2244.5,641,3848,2267.7,cudaEventDestroy
0.0,1860,2,930.0,930.0,641,1219,408.7,cudaGetDeviceProperties_v12000
0.0,1153,3,384.3,297.0,293,563,154.7,cudaGetDriverEntryPointByVersion_v12050
